Ifpid,sigma2
1114,4.0352470556216
1097,3.3523009863535
1004,3.2461796785501
1203,3.1164379828203
1066,2.9844465661584
1022,2.9791902668213
1116,2.9289768943669
1037,2.8736446373459
1165,2.8383231953968
1191-b,2.8248359502025
1068,2.8213227910419
1072,2.7706818549652
1090,2.7209733245124
1017,2.7186018620049
1078,2.7120078625147
1063,2.6761245573869
1003,2.6458756100454
1046,2.6446098446436
1083,2.6354906512123
1042,2.6349309896661
1008,2.533868661844
1075,2.5116080410474
1204,2.5065771097249
1041,2.4992331831287
1161,2.4865131798318
1087,2.4839231001177
1096,2.450726578571
1021,2.4317633952138
1187-b,2.4287949513609
1006,2.4079502275326
1069,2.3964038414902
1071,2.3953258062895
1031,2.3778006438009
1145-a,2.3767930117026
1207,2.3739114817832
1094,2.3674625115599
1163,2.3495857122799
1028,2.3483460747044
1082,2.3225902991786
1033,2.3201755836552
1086,2.3124812835604
1034,2.3001475741479
1074,2.2891975076714
1171-b,2.2705652084365
1089,2.2678504787412
1104,2.2670671422443
1053,2.2603531025496
1213,2.2603447058095
1093,2.2586842361283
1173,2.2396343579884
1030,2.23176619772
1185-b,2.2224391814753
1092,2.2195193234909
1196-a,2.200805953661
1129-b,2.1997637023564
1167-b,2.19321243199
1077,2.1867100105091
1050,2.1827300139662
1199,2.1746538401209
1062,2.1711855038458
1099,2.1696574966518
1040,2.1694657259565
1166-b,2.1685027453208
1051,2.1639026792749
1054,2.1617750848618
1035,2.1559200545721
1052,2.1242134598153
1059,2.1182583942436
1144-a,2.1092578640657
1168,2.0942991564809
1091,2.0829079604261
1098,2.0798497429096
1133,2.076157969101
1102,2.0701137847346
1152,2.0698625385816
1088,2.0633699173193
1103,2.0593463112031
1043,2.0568440727554
1209,2.0514578212328
1044,2.0447951399262
1085,2.0398711911607
1137,2.0329802099875
1012,2.0289333689517
1170,2.0223729386962
1214,2.0173111284858
1195-b,2.011608501743
1057,2.0016296046332
1132-b,1.994304498916
1095,1.9900052161152
1058,1.981173454493
1162-d,1.9785772795985
1070,1.9752382348346
1067,1.9643939336488
1036,1.9641173031746
1080,1.9609962565321
1076,1.9608747922995
1194-b,1.9441873394619
1131,1.9388627217804
1123,1.9357665894949
1109,1.9172694769646
1136,1.9057072287957
1124,1.9015510931345
1105,1.8949162215859
1135,1.8933113127993
1073,1.8839848747563
1120,1.8778442722252
1174,1.872345265645
1160,1.870766545606
1047,1.8706975354051
1015,1.8694943172321
1117,1.858357390149
1158-b,1.8559644521278
1055,1.8504963343645
1183,1.8479480294467
1032,1.8457979987974
1115,1.8324830939457
1064,1.8323783664776
1020,1.8254011011302
1065,1.8218161424587
1121,1.8164121176774
1048,1.816161348605
1060,1.8142753979083
1139,1.8082378501871
1177,1.7907698147876
1190-b,1.7870917690381
1181,1.7834250165272
1151-b,1.770035873154
1013,1.7682406581316
1011,1.7664989880311
1010,1.7619751001063
1179,1.7617679340867
1056,1.7558499037421
1147,1.7386344711411
1049,1.7374653648907
1198-b,1.7197149252197
1045,1.71497632122
1149,1.7088329605282
1175-b,1.6940729852653
1001,1.6920961362354
1154-b,1.6791436470879
1184,1.6739151009634
1025,1.6712307556658
1202-b,1.6712143701893
1182,1.6599587989931
1106,1.6549147929634
1142,1.6544388975616
1039,1.6531928209049
1100,1.650900020127
1143-a,1.6378581891414
1061,1.6291230420716
1127,1.615249753058
1178,1.6141721825802
1140,1.6119993833469
1153,1.5915897139458
1018,1.5726670883861
1180,1.5679074186002
1081,1.5320022000885
1130,1.5228968963757
1023,1.514809080406
1038,1.510888197972
1024,1.4923722204942
1138-a,1.4607580296929
1005,1.3937561596571
1026,1.3805082633239
1156-a,1.248803402838
1016,1.1545862513528
